Date,Global,U.S.,Europe,Emerging markets
2020-01-01,2.6544362908605765,3.182788525683791,2.5622993945649326,1.6937958639092774
2020-02-01,2.6944629753168807,3.260651755258224,2.5743829219479686,1.6173675532115792
2020-03-01,2.877679459262152,3.509798985487181,2.445995443503219,1.949060379875896
2020-04-01,3.4228731103754724,4.120923382884188,2.7216509119287102,2.29895401966091
2020-05-01,3.86460155827155,4.713167268745197,2.92903445064005,2.7208956914672684
2020-06-01,4.4103993857540225,5.405779953931547,3.449758958802723,2.8652938436945403
2020-07-01,4.82161692700794,5.909587523757973,3.7336463302579084,3.197288758543433
2020-08-01,4.994260324493057,6.211071531964703,3.931816179339686,3.103867987463343
2020-09-01,5.198169849081775,6.336891260840557,4.494757511296836,3.244867647614133
2020-10-01,5.36205268921419,6.341800193839915,5.040555338779307,3.4567825090941136
2020-11-01,5.528352234823213,6.463768298362426,5.436668470804433,3.4425843644190497
2020-12-01,5.560373582388257,6.649779098015024,5.471635178169092,3.150767178118748
2021-01-01,5.488325550366909,6.614510302465791,5.245295605875613,3.150767178118748
2021-02-01,5.472314876584387,6.44005437587322,5.659156418744571,3.130300703613732
2021-03-01,5.414918121514969,6.152013291880113,6.267864110664969,2.8178659987161274
2021-04-01,4.79072841013506,5.406459652346848,5.968192631565696,2.6777726031190645
2021-05-01,4.258826639143078,4.6868855966871,5.583936460785176,2.359900310899094
2021-06-01,3.5350233488992675,3.8232154769846574,4.871914609739825,2.10607071380921
2021-07-01,3.013014965952146,3.159225647286872,4.437964932596572,1.709806537691799
2021-08-01,2.926617745163445,2.8312334008836095,4.096529761979683,2.0293403149269373
2021-09-01,2.567736981887301,2.3932810552947292,3.419323574206708,2.122761086007028
2021-10-01,2.1519125958186005,2.0238272055584274,2.633139073847978,1.7107128022455271
2021-11-01,1.7975631553110922,1.6422898284390897,2.1603710649867245,1.6886603647714875
2021-12-01,1.6937958639092774,1.5416944629753218,1.8792780092388675,1.8051908819716336
2022-01-01,1.632824398655712,1.485657104736496,1.6901708056943683,1.9087316072350167
2022-02-01,1.554608732865941,1.4745553639533326,1.249122056213583,1.8169723211700923
2022-03-01,1.4566566390172115,1.4006192807783857,0.7361763188037371,2.043009805278995
2022-04-01,1.437625083388931,1.293529019346236,0.9641773761123827,2.142094729819884
2022-05-01,1.4216144096064094,1.3423162611552402,0.9573048699132815,2.0140093395597107
2022-06-01,1.4696464309539743,1.4269764748826317,0.9386509245157213,1.9979986657771889
2022-07-01,1.4021297217012647,1.342618349339816,0.8212141427618473,1.8859239492995372
2022-08-01,1.5458783843316977,1.49049051568971,0.9685576547887327,1.8699132755170156
2022-09-01,1.6857905270180167,1.6214457437033551,1.3507747303233621,1.8945334625599484
2022-10-01,1.7367301471421248,1.5438846023134962,1.7425831057182797,2.115888579807927
2022-11-01,1.8579807922262679,1.6578473699447474,2.130162246529136,2.0342492479262932
2022-12-01,1.9479275491837365,1.6677407579896075,2.245603088492062,2.256057497451134
2023-01-01,2.0218636323586825,1.7336715042732926,2.4132188754767294,2.350384533084954
2023-02-01,2.2193537830251655,2.025488690573594,2.603609953805685,2.11634171208479
2023-03-01,2.40189056855514,2.461552985008876,2.8669553287097087,2.001623723992099
2023-04-01,2.53737711933742,2.4733344242073336,2.812050801163041,2.289211675708335
2023-05-01,2.8201316601004462,2.924201039686837,3.0460936221632053,2.495537905773664
2023-06-01,3.0479816733168037,3.2814203179478145,3.1562047654411156,2.1808375394917414
2023-07-01,3.1651163668861027,3.562211285511097,3.0482082394552372,2.167772225508833
2023-08-01,3.2839125454705664,3.782358050020768,3.393872644656188,1.941961307538363
2023-09-01,3.389869976210556,4.101287650886753,3.1699497778393204,1.9569146726748678
2023-10-01,3.46297531687792,4.161101111432779,2.9017709919820787,2.0780520346897973
2023-11-01,3.5777688270167536,4.3970319835865395,2.9935302780469986,2.0753332410286154
2023-12-01,3.74897730562513,4.500270620665347,3.5980842574294747,1.9533651365061042
2024-01-01,3.892242627160245,4.727818545697131,3.978790892041234,1.8378919279519723
2024-02-01,3.9513008672448304,4.727818545697131,4.1354236157438296,1.853902601734494
2024-03-01,3.9673115410273523,4.810137575994058,4.055370246831221,1.856168263118813
2024-04-01,4.115561317607964,4.911941294196129,4.1917630621672295,1.9819879919946672
2024-05-01,4.0793862575050035,4.729782118896876,4.379661912973425,2.0140093395597107
2024-06-01,4.007413747529801,4.57579266680932,4.727591979558698,1.8780696565005655
2024-07-01,3.931665135247401,4.433433609827934,4.860284214633657,1.7480206930406492
2024-08-01,3.879857011592635,4.577737359497526,4.51967978652435,1.6100419147356146
2024-09-01,3.8288041083993103,4.386760985310961,4.8166324719624365,1.480068473321843
2024-10-01,4.03029692751142,4.813762634208962,5.111017407831632,1.3420896950168104
2024-11-01,3.9993328885923956,4.9386760985310945,5.140017873550921,1.0826714665122725
2024-12-01,3.9513008672448304,5.123327501353101,4.559479904842227,1.0661321384067435
2025-01-01,3.8289551524915995,5.120684229738063,4.152038465895503,0.9412941961307598
2025-02-01,3.5610029327727912,4.714753231714221,4.0073382254836565,0.9412941961307598
2025-03-01,3.5492214935743336,4.589915289438241,4.141616423527634,0.9234709932407822
2025-04-01,3.2788525683789214,4.354362027515198,3.8416428562437868,0.6851234156104133
2025-05-01,3.4963560612735565,4.625108562941333,3.8232154769846574,0.926642919178831
2025-06-01,3.5830553702468326,4.750399637494178,3.94329553035357,0.9398592772540244
2025-07-01,3.5826022379699696,4.735823882588392,3.8072048032021355,1.0449104434402874
2025-08-01,3.5350233488992675,4.765504046722972,3.7968582828804114,0.8108676224401231
2025-09-01,3.46297531687792,4.615290696942616,3.6626556068825775,0.9252835223482381
2025-10-01,3.2746233337948576,4.365237202159928,3.5048900524878226,0.8009742343952619
2025-11-01,3.1267511674449655,4.0073382254836565,3.599066044029354,0.7971981320880649
