iter	Passed	Remaining
328	566	1154
329	567	1152
330	569	1150
331	570	1146
332	571	1145
333	573	1144
334	575	1142
335	577	1140
336	578	1138
337	580	1137
338	582	1135
339	583	1133
340	585	1131
341	587	1129
342	589	1128
343	590	1126
344	592	1124
345	593	1122
346	595	1120
347	597	1118
348	598	1116
349	600	1114
350	601	1112
351	603	1111
352	605	1110
353	607	1108
354	608	1106
355	610	1104
356	612	1102
357	613	1100
358	615	1099
359	617	1097
360	619	1096
361	621	1094
362	622	1093
363	624	1091
364	626	1089
365	627	1087
366	629	1085
367	631	1084
368	633	1083
369	635	1081
370	636	1079
371	638	1077
372	640	1076
373	642	1074
374	643	1073
375	645	1071
376	647	1070
377	649	1068
378	651	1067
379	652	1065
380	655	1064
381	656	1062
382	658	1060
383	660	1058
384	661	1057
385	664	1057
386	666	1055
387	668	1054
388	670	1052
389	671	1050
390	673	1048
391	675	1047
392	677	1045
393	678	1044
394	680	1042
395	682	1041
396	684	1039
397	686	1037
398	687	1035
399	689	1034
400	691	1032
401	692	1030
402	694	1029
403	697	1028
404	698	1026
405	700	1024
406	702	1022
407	703	1021
408	705	1019
409	707	1017
410	708	1016
411	712	1016
412	714	1015
413	715	1013
414	717	1011
415	719	1009
416	721	1008
417	722	1006
418	724	1004
419	726	1003
420	728	1001
421	730	1000
422	731	998
423	733	996
424	735	995
425	737	993
426	738	991
427	740	989
428	742	988
429	744	986
430	745	984
431	747	983
432	749	981
433	751	979
434	752	977
435	754	976
436	756	974
437	758	973
438	761	972
439	763	971
440	765	969
441	766	968
442	768	966
443	770	964
444	772	962
445	773	961
446	776	960
447	778	958
448	779	957
449	781	955
450	783	953
451	785	951
452	786	950
453	788	948
454	790	947
455	793	946
456	794	944
457	796	943
458	798	941
459	800	939
460	802	937
