iter	Passed	Remaining
766	5472	1662
767	5477	1654
768	5484	1647
769	5491	1640
770	5497	1632
771	5503	1625
772	5510	1618
773	5516	1610
774	5521	1603
775	5527	1595
776	5533	1588
777	5539	1580
778	5545	1573
779	5551	1565
780	5557	1558
781	5564	1551
782	5571	1544
783	5579	1537
784	5587	1530
785	5594	1523
786	5602	1516
787	5611	1509
788	5621	1503
789	5631	1497
790	5641	1490
791	5651	1484
792	5660	1477
793	5668	1470
794	5677	1464
795	5685	1457
796	5695	1450
797	5703	1443
798	5711	1436
799	5721	1430
800	5730	1423
801	5738	1416
802	5745	1409
803	5753	1402
804	5761	1395
805	5772	1389
806	5780	1382
807	5788	1375
808	5796	1368
809	5804	1361
810	5812	1354
811	5820	1347
812	5827	1340
813	5833	1333
814	5839	1325
815	5847	1318
816	5855	1311
817	5863	1304
818	5871	1297
819	5878	1290
820	5885	1283
821	5890	1275
822	5899	1268
823	5909	1262
824	5917	1255
825	5924	1248
826	5931	1240
827	5937	1233
828	5945	1226
829	5951	1219
830	5959	1212
831	5966	1204
832	5975	1198
833	5982	1190
834	5989	1183
835	5994	1175
836	6000	1168
837	6006	1161
838	6013	1153
839	6020	1146
840	6026	1139
841	6032	1131
842	6037	1124
843	6041	1116
844	6048	1109
845	6057	1102
846	6065	1095
847	6071	1088
848	6076	1080
849	6082	1073
850	6087	1065
851	6093	1058
852	6098	1051
853	6105	1043
854	6111	1036
855	6117	1029
856	6122	1021
857	6128	1014
858	6133	1006
859	6139	999
860	6145	992
861	6150	984
862	6156	977
863	6163	970
864	6169	962
865	6175	955
866	6181	948
867	6186	940
868	6193	933
869	6198	926
870	6206	919
871	6213	912
872	6221	905
873	6228	897
874	6233	890
875	6240	883
876	6245	875
877	6251	868
878	6257	861
879	6262	853
880	6268	846
881	6274	839
882	6279	832
883	6285	824
884	6291	817
885	6296	810
886	6302	802
887	6307	795
888	6312	788
889	6318	780
890	6326	773
891	6333	766
892	6341	759
893	6347	752
894	6353	745
895	6359	738
896	6365	730
897	6370	723
898	6376	716
899	6383	709
900	6389	702
901	6396	694
902	6401	687
903	6406	680
904	6412	673
905	6419	666
906	6426	658
907	6432	651
908	6437	644
909	6444	637
910	6449	630
911	6455	622
912	6461	615
913	6467	608
914	6474	601
915	6480	594
916	6486	587
917	6492	579
918	6498	572
919	6503	565
920	6510	558
921	6516	551
922	6523	544
923	6529	537
924	6535	529
925	6541	522
926	6547	515
927	6553	508
928	6559	501
929	6564	494
930	6570	486
931	6575	479
932	6580	472
933	6587	465
934	6592	458
935	6599	451
936	6607	444
937	6613	437
938	6619	430
939	6625	422
940	6633	415
941	6638	408
942	6643	401
943	6649	394
944	6654	387
945	6659	380
946	6665	373
947	6671	365
948	6677	358
949	6683	351
950	6689	344
951	6695	337
952	6700	330
953	6706	323
954	6711	316
955	6717	309
956	6725	302
957	6731	295
958	6738	288
959	6746	281
960	6753	274
961	6760	267
962	6766	259
963	6773	252
964	6780	245
965	6786	238
966	6793	231
967	6800	224
968	6806	217
969	6813	210
970	6821	203
971	6826	196
972	6832	189
973	6837	182
974	6843	175
975	6849	168
976	6854	161
977	6859	154
978	6866	147
979	6872	140
980	6877	133
981	6885	126
982	6893	119
983	6899	112
984	6906	105
985	6913	98
986	6920	91
987	6925	84
988	6932	77
989	6938	70
990	6943	63
991	6950	56
992	6956	49
993	6962	42
994	6968	35
995	6973	28
996	6978	20
997	6984	13
998	6990	6
999	6996	0
